Lip,Li,Ld,Lb
1.122,1.08,2.688,1.058
1.345,1.505,3.749,1.497
1.09,1.039,3.582,1.354
0.916,0.892,3.169,1.432
1.379,1.396,3.695,1.598
1.09,1.146,3.493,1.386
1.381,1.613,3.212,1.692
1.235,1.319,4.228,1.454
1.323,1.231,3.403,1.471
1.235,1.255,3.52,1.445
1.319,1.444,3.463,1.397
1.197,1.203,3.083,1.244
1.258,1.138,3.968,1.355
1.361,1.155,3.163,1.103
1.025,1.134,3.617,1.1
1.255,1.245,3.056,1.314
1.345,1.448,3.344,1.302
1.038,0.898,3.389,1.273
1.352,1.344,4.047,1.282
1.01,1.121,3.208,1.579
1.285,1.324,3.692,1.541
1.206,1.176,3.355,1.193
1.183,1.253,3.44,1.284
1.243,1.136,3.713,1.217
1.116,1.064,2.729,1.586
1.179,1.395,3.205,1.449
1.29,1.441,3.313,1.441
1.132,1.056,3.329,1.431
1.29,1.387,3.941,1.416
1.103,1.023,3.562,1.345
1.035,1.525,3.466,1.578
1.238,1.142,3.358,1.521
1.274,1.252,3.077,1.373
1.01,1.073,3.531,1.388
1.285,0.995,3.444,1.404
1.21,1.153,3.39,1.61
1.116,1.193,3.156,1.573
1.313,1.213,3.346,1.349
1.179,1.353,3.371,1.164
1.238,1.19,3.473,1.61
1.314,1.367,3.342,1.345
1.166,1.108,3.311,1.282
1.21,1.144,3.231,1.56
1.294,1.146,2.916,1.402
1.077,1.064,3.053,1.461
1.077,1.269,3.683,1.554
1.206,1.243,3.752,1.276
1.289,1.297,3.249,1.398
1.139,1.09,3.876,1.724
1.318,1.137,2.835,1.532
1.103,1.169,3.697,1.546
1.13,1.265,3.523,1.295
1.148,1.378,4.373,1.374
1.255,1.117,3.379,1.324
1.041,1.026,3.101,1.244
1.259,1.338,3.72,1.32
1.027,1.049,4.109,1.281
1.53,1.635,3.433,2.049
1.358,1.515,3.053,1.437
1.42,1.247,3.13,1.564
1.197,1.288,3.589,1.288
1.118,1.298,3.827,1.542
1.318,1.38,3.754,1.78
1.029,1.115,3.268,1.463
1.439,1.573,3.507,1.496
1.562,1.577,3.195,1.543
1.053,1.075,3.297,1.202
1.145,1.295,2.986,1.155
1.041,1.069,3.792,1.389
1.167,1.313,3.349,1.566
1.358,1.207,3.536,1.463
1.314,1.401,3.268,1.373
1.118,1.213,3.623,1.399
1.243,1.159,4.449,1.404
1.093,1.118,3.167,1.288
1.102,1.182,3.325,1.125
1.035,1.279,3.471,1.328
1.075,1.238,2.935,1.311
1.156,1.097,2.834,1.401
1.384,1.211,3.473,1.678
1.156,1.407,3.562,1.847
1.207,1.246,3.928,1.3
1.039,1.217,3.39,1.821
1.384,1.148,3.197,1.458
1.17,1.181,3.266,1.595
1.008,1.168,3.245,1.315
1.075,1.186,4.171,1.29
1.093,1.262,3.243,1.346
1.205,1.429,3.455,1.472
1.227,1.413,3.771,1.394
1.008,1.04,3.047,1.118
1.319,1.118,3.565,1.457
1.146,1.19,3.395,1.912
1.026,1.024,3.094,1.211
1.032,1.137,3.276,1.4
1.389,1.431,3.328,1.504
1.07,1.367,3.425,1.173
1.258,1.317,3.496,1.777
1.205,1.426,3.801,1.605
1.039,0.964,3.185,1.551
1.113,1.265,3.327,1.509
1.139,1.143,3.411,1.551
1.176,1.388,3.141,1.665
1.206,1.131,3.484,1.158
1.025,1.171,3.865,1.187
1.236,0.95,3.146,1.341
1.199,1.05,3.069,1.427
1.269,1.32,3.418,1.777
1.258,1.245,3.683,1.759
1.199,1.293,3.446,1.691
0.975,1.152,3.416,1.75
1.28,1.236,3.36,1.298
1.148,1.219,3.631,1.203
1.079,1.254,3.643,1.726
1.319,1.071,2.654,1.223
1.203,1.217,2.955,1.384
1.324,1.23,3.327,1.816
1.387,1.428,3.489,1.922
1.255,1.124,3.55,1.557
1.158,1.323,2.842,1.61
1.136,1.149,3.419,1.756
1.269,1.258,3.876,1.614
0.898,0.986,2.578,1.548
1.141,1.334,3.352,1.651
1.236,1.049,3.619,1.662
1.28,1.299,3.088,1.333
1.333,1.243,4.009,1.547
1.158,1.107,2.763,1.293
1.333,1.337,3.916,1.641
1.35,1.303,2.917,1.476
1.257,0.992,3.344,1.544
1.023,0.881,3.355,1.562
1.141,1.055,3.172,1.417
1.312,1.329,3.128,1.434
1.145,1.205,3.772,1.268
0.966,1.05,2.914,1.401
1.118,1.157,4.152,1.521
1.279,1.084,3.464,1.075
1.037,1.094,3.602,1.801
1.324,1.087,3.704,1.654
1.167,1.148,3.205,1.345
1.245,1.089,3.237,1.556
1.228,1.365,3.967,1.828
1.032,0.995,3.562,1.299
1.029,1.049,3.533,1.379
1.257,1.128,3.318,1.788
1.023,1.095,3.3,1.792
1.292,1.411,3.176,1.526
0.966,1.134,2.981,1.631
1.079,1.144,3.74,1.696
1.136,1.297,3.567,1.757
1.102,1.224,2.803,1.195
1.505,1.544,3.464,1.753
1.176,1.178,3.262,1.462
0.898,1.182,2.826,1.635
1.113,1.066,3.936,1.322
1.176,1.367,3.277,1.577
1.225,1.314,3.083,1.241
1.387,1.387,3.114,1.708
1.483,1.222,3.581,1.73
1.11,0.838,3.005,1.324
1.169,1.031,3.093,1.614
1.01,1.153,3.465,1.694
1.131,1.511,3.764,1.91
1.09,1.101,3.254,1.773
1.159,1.209,2.9,1.151
1.134,1.148,4.097,1.734
1.17,1.086,3.892,1.876
1.35,1.325,3.096,1.577
0.975,1.104,3.744,1.58
1.037,0.94,3.377,1.431
1.483,1.288,3.792,1.925
1.193,1.104,2.856,1.418
0.892,0.944,3.235,1.436
1.11,1.141,3.478,1.703
1.118,1.07,3.982,1.658
1.176,1.179,3.602,1.548
0.892,1.09,3.63,1.496
1.01,1.134,3.516,1.67
1.297,1.075,3.444,1.401
1.505,1.329,3.815,1.826
1.525,1.499,3.231,1.659
1.248,1.26,3.409,1.52
1.448,1.408,2.829,1.613
1.132,1.259,3.482,1.421
1.169,1.143,3.633,1.833
1.312,1.352,3.658,1.415
1.134,0.956,3.554,1.716
1.353,1.21,2.976,1.57
1.069,1.037,3.342,1.643
1.17,1.002,3.196,1.541
1.367,1.325,3.51,1.499
1.182,1.128,2.815,1.597
1.313,1.156,3.28,1.649
1.115,0.901,2.972,1.378
1.213,0.812,3.132,1.55
