Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,2,16,16,75,104,1.441,1.188,2.743,2.743,2.029,2.131,2.222,3.213,-28,100.0,100.0,64,76,84,116
1,2,20,16,76,106,1.444,1.367,3.235,2.655,1.805,1.996,1.996,3.235,-28,120.0,116.0,48,68,68,120
1,2,21,1,78,101,1.738,1.314,2.817,2.817,2.07,2.645,2.716,3.584,-40,64.0,64.0,32,56,60,92
1,2,21,21,101,123,1.875,1.421,2.505,2.505,2.132,2.217,2.262,3.019,-28,60.0,60.0,36,44,48,88
1,2,23,1,100,124,2.096,1.489,2.854,2.93,2.584,2.93,3.286,3.988,-44,56.0,60.0,44,60,72,96
1,2,23,23,124,141,1.847,1.273,2.89,2.89,2.232,2.529,2.776,3.519,-44,48.0,48.0,20,32,40,68
1,2,23,23,141,167,1.865,1.601,2.645,2.645,2.304,2.522,3.177,3.449,-20,76.0,76.0,60,72,80,104
1,2,28,1,126,147,1.789,1.298,2.583,2.583,1.807,1.93,2.248,2.741,-36,76.0,76.0,32,44,60,84
1,2,29,23,124,143,2.141,1.573,2.776,2.776,2.328,2.776,3.191,4.095,-36,44.0,44.0,16,44,56,76
1,2,32,1,142,178,1.504,1.511,2.713,2.613,2.384,2.585,2.713,3.291,12,108.0,104.0,92,100,108,144
1,2,32,32,178,215,1.753,1.505,2.942,2.998,2.13,2.279,2.52,3.048,-24,124.0,128.0,68,76,104,148
1,2,33,28,147,177,1.453,1.424,2.873,2.703,2.26,2.173,2.675,3.555,-4,108.0,104.0,76,88,96,120
1,2,35,1,174,202,1.918,1.398,2.431,2.431,2.266,2.876,2.982,3.615,-36,48.0,48.0,36,68,76,112
1,2,36,32,178,208,1.539,1.216,2.64,2.839,1.935,2.176,2.64,3.726,-44,80.0,84.0,44,72,80,120
1,2,38,1,195,218,1.827,1.506,2.48,2.447,2.191,2.289,2.398,3.331,-20,56.0,52.0,36,40,44,92
1,2,38,38,217,247,1.7,1.21,2.597,2.606,2.473,2.682,2.845,3.44,-32,64.0,68.0,52,76,84,120
1,2,43,38,218,240,1.621,1.253,2.661,2.661,1.735,2.1,2.367,3.139,-40,68.0,68.0,24,44,56,88
1,2,44,1,219,239,1.646,1.503,2.643,2.801,2.076,2.245,2.466,3.151,-12,56.0,60.0,32,40,48,80
1,2,44,44,239,265,1.617,1.493,2.925,2.985,2.316,2.342,2.387,3.246,-16,92.0,96.0,56,64,72,104
1,2,45,44,238,266,1.793,1.313,2.758,2.702,2.463,2.437,2.445,3.327,-20,92.0,96.0,68,76,84,112
1,2,46,1,238,262,1.391,1.103,2.667,2.787,2.128,2.313,2.533,3.056,-24,76.0,80.0,56,64,72,96
1,3,1,1,19,40,1.951,1.555,3.275,3.047,2.448,2.661,2.853,3.558,-24,80.0,72.0,40,52,56,84
1,3,1,1,39,73,1.749,1.665,2.889,2.889,2.584,3.139,3.199,3.917,-4,92.0,92.0,72,104,108,136
1,3,1,1,73,104,2.068,1.567,3.03,3.03,2.406,3.062,3.149,3.969,-40,80.0,80.0,32,84,88,124
