Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
2,4,16,16,69,109,1.514,1.665,3.593,,2.509,2.682,2.815,3.345,28,168.0,,108,116,132,160
2,4,17,1,46,83,1.667,1.651,3.476,3.117,2.472,2.609,2.762,3.085,-4,192.0,156.0,92,108,120,148
2,4,20,13,79,107,1.668,1.632,3.404,3.294,2.312,2.573,2.755,3.404,-4,112.0,108.0,56,72,80,112
2,4,22,1,82,128,1.422,1.532,3.211,,2.244,2.359,2.484,2.946,44,212.0,,128,136,148,184
2,4,23,17,83,136,1.544,1.609,3.283,3.283,2.331,2.588,2.807,3.357,4,208.0,208.0,132,148,172,212
2,5,1,1,23,96,1.46,1.624,2.935,3.016,2.503,2.617,2.661,3.51,28,252.0,260.0,200,220,228,292
2,5,1,1,96,132,1.87,1.437,3.232,3.206,2.173,2.331,2.42,3.176,-44,152.0,148.0,44,64,80,144
3,1,1,1,37,109,1.564,1.799,3.16,3.247,2.412,2.562,2.8,3.423,88,276.0,280.0,212,228,248,288
3,1,2,2,26,91,1.529,1.588,3.234,3.214,2.038,2.309,2.559,3.168,4,268.0,264.0,112,160,204,260
3,1,2,2,91,129,1.483,1.482,2.796,2.776,2.147,2.512,2.66,3.195,8,132.0,128.0,84,112,120,152
3,1,3,3,5,40,1.606,1.59,3.201,3.201,2.184,2.407,2.596,2.967,-4,164.0,164.0,84,100,108,140
3,1,3,3,41,88,1.606,1.648,3.321,3.361,2.271,2.72,2.951,3.184,20,204.0,208.0,96,144,168,188
3,1,4,4,5,40,1.824,1.679,3.23,3.23,2.363,2.611,2.667,3.003,-16,164.0,164.0,80,100,108,140
3,1,8,3,5,43,1.626,1.626,3.083,3.289,2.306,2.527,2.652,3.069,0,156.0,172.0,84,100,112,152
3,1,12,2,26,87,1.648,1.804,3.473,3.18,2.185,2.41,2.54,2.987,20,300.0,268.0,112,164,188,244
3,1,13,1,37,105,1.421,1.681,2.911,2.911,2.311,2.68,2.841,3.705,96,232.0,232.0,192,220,228,272
3,1,13,13,105,130,1.763,1.379,3.016,2.847,1.951,2.48,2.499,3.016,-48,100.0,92.0,16,56,60,100
3,1,16,3,40,76,1.398,1.488,3.493,3.059,2.151,2.427,2.589,2.876,20,184.0,168.0,84,104,124,144
3,1,25,13,105,131,1.942,1.42,3.039,3.039,2.079,2.457,2.725,3.213,-44,96.0,96.0,20,48,76,104
3,2,1,1,23,76,1.467,1.349,2.527,2.365,1.883,2.527,2.953,3.614,-12,148.0,136.0,64,148,176,212
3,2,1,1,77,96,1.849,1.235,3.215,3.145,2.011,2.253,2.33,2.866,-72,96.0,92.0,12,32,40,76
3,2,1,1,96,136,1.36,1.533,,,2.095,2.184,2.277,2.734,20,,,100,108,120,160
3,2,2,2,13,70,1.547,1.598,3.162,3.108,2.505,2.581,2.833,3.797,4,184.0,180.0,116,124,160,228
3,2,3,3,26,64,1.564,1.313,2.991,2.991,2.079,2.33,2.64,2.991,-32,152.0,152.0,72,100,128,152
3,2,4,4,18,55,1.586,1.495,3.128,3.236,2.423,2.423,2.698,3.385,-16,140.0,144.0,96,96,112,148
3,2,11,2,12,58,1.424,1.375,2.888,2.821,2.119,2.166,2.354,2.956,-4,180.0,176.0,120,128,144,184
3,2,13,13,82,99,2.075,1.29,2.539,2.617,2.075,2.617,2.775,3.184,-80,32.0,36.0,0,36,44,68
3,2,13,13,100,130,1.605,1.269,3.021,3.133,2.209,2.325,2.354,2.833,-40,140.0,144.0,64,76,80,120
3,2,20,1,77,102,1.884,1.182,2.802,2.75,1.884,2.303,2.578,3.149,-80,84.0,80.0,0,44,68,100
3,2,21,13,82,108,1.979,1.312,2.846,2.956,1.881,2.956,3.114,3.861,-76,64.0,68.0,-8,68,76,104
3,2,22,1,96,134,1.506,1.659,3.251,3.251,2.431,2.644,2.567,3.155,16,160.0,160.0,96,108,104,152
