Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
2,2,1,1,125,162,1.722,1.756,,3.518,2.127,2.589,2.927,3.014,4,,200.0,68,112,120,148
2,2,1,1,162,235,1.305,1.873,3.705,3.898,2.454,2.728,2.662,3.231,116,352.0,368.0,216,248,240,292
2,2,1,1,236,303,1.509,1.806,,,2.592,2.696,2.749,3.002,52,,,180,200,212,268
2,2,2,2,69,119,1.663,1.85,3.61,,2.524,2.716,2.813,3.294,44,232.0,,128,148,160,200
2,2,2,2,119,171,1.703,1.847,,,2.605,2.869,3.065,3.317,28,,,124,160,168,208
2,2,3,3,75,113,1.796,1.852,,3.961,2.441,2.7,2.799,3.195,12,,188.0,88,108,112,152
2,2,14,2,69,120,1.769,1.913,3.649,,2.393,2.607,2.647,3.043,32,260.0,,124,148,156,204
2,2,20,1,125,163,1.889,2.025,4.15,3.965,2.742,2.806,2.934,3.448,20,208.0,196.0,92,100,112,152
2,2,20,20,163,206,1.826,2.203,4.565,4.402,3.158,3.189,3.158,3.616,52,256.0,244.0,136,140,136,172
2,2,20,20,208,253,1.965,2.385,4.393,4.709,2.998,3.252,3.252,3.747,76,232.0,260.0,132,152,152,180
2,2,20,20,253,287,1.901,2.151,,,2.638,2.733,2.733,3.063,48,,,96,112,112,136
2,2,21,1,162,211,1.709,1.927,4.409,,2.718,3.07,2.888,3.412,48,284.0,,140,164,152,196
2,2,21,21,211,279,1.614,2.11,3.919,3.855,2.604,3.289,3.221,3.63,88,304.0,296.0,136,232,220,272
2,2,22,20,164,211,1.619,1.837,,3.585,2.355,2.713,2.713,3.086,40,,268.0,116,152,152,188
2,2,26,21,210,277,1.821,2.445,5.098,4.343,3.023,3.612,3.469,3.906,108,336.0,296.0,184,244,228,268
2,3,1,1,15,60,1.446,1.809,4.187,4.072,2.558,2.807,2.69,3.242,48,252.0,244.0,128,148,140,180
2,3,1,1,60,111,1.464,1.996,4.054,3.827,2.784,3.123,3.049,3.552,72,236.0,220.0,148,172,168,204
2,3,1,1,111,146,1.778,2.085,3.853,3.853,2.865,2.865,2.865,3.392,32,172.0,172.0,108,108,108,140
2,3,1,1,146,183,1.779,2.017,4.094,4.185,2.896,3.099,2.968,3.591,28,180.0,184.0,108,124,112,148
2,3,1,1,184,224,1.736,2.015,4.494,4.249,2.858,3.161,3.411,3.771,28,224.0,208.0,108,132,140,160
2,3,1,1,224,273,1.886,2.154,4.361,4.257,2.904,3.38,3.19,3.749,64,268.0,260.0,144,176,164,196
2,3,2,2,10,87,1.729,2.105,3.957,4.093,3.12,3.245,3.245,3.866,76,332.0,344.0,240,252,252,308
2,3,10,1,15,64,1.807,2.096,4.009,4.136,2.68,2.993,2.993,3.423,48,252.0,260.0,124,156,156,196
2,3,10,10,64,114,1.656,1.978,3.67,3.943,2.822,2.822,2.864,3.499,56,212.0,232.0,152,152,156,200
2,3,13,1,59,109,1.753,2.135,4.083,3.802,2.852,2.986,2.938,3.446,68,248.0,228.0,144,160,156,200
2,3,13,13,109,157,1.793,2.148,,,2.798,2.952,3.052,3.441,52,,,132,148,156,192
2,3,14,10,64,117,1.767,2.045,,,2.739,2.894,2.894,3.41,60,,,152,172,172,212
2,3,16,1,111,153,1.774,2.015,4.42,4.153,2.783,2.998,2.877,3.456,36,236.0,216.0,116,132,124,168
2,3,16,16,153,215,1.754,2.231,4.21,4.39,2.926,3.357,3.424,3.8,60,280.0,288.0,152,200,204,248
2,3,20,1,146,195,1.614,1.68,3.83,4.219,2.625,2.923,2.923,3.478,12,220.0,240.0,124,156,156,196
2,3,20,20,195,235,1.728,1.895,4.086,4.488,2.605,2.998,2.979,3.526,24,212.0,232.0,88,128,124,160
2,3,24,1,183,225,1.881,2.181,4.375,4.202,2.979,3.376,3.213,3.783,44,204.0,192.0,116,136,128,168
2,3,24,24,225,269,2.009,2.337,,,3.249,3.196,3.249,3.688,36,,,136,132,136,176
2,3,25,20,195,235,1.75,2.076,,,2.747,2.747,2.763,3.148,44,,,120,124,116,160
2,3,29,24,225,266,1.775,1.958,4.239,4.73,2.782,3.064,2.839,3.515,24,228.0,260.0,116,136,124,164
2,3,30,1,224,269,1.886,2.241,,,2.924,3.074,2.879,3.343,52,,,140,148,136,180
