Pos	Channel	Cell	MothCell	BirthFr	DivFr	Td	Tri1	Tri2	Tri3	Trt	Tn	Tc	Lb	Lri1	Lri2	Lri3	Lrt	Ln	Lc	Ld	Time
1	4	1	1	23	58	140	-28	120	124	76	68	76	1,269	1,005	2,472	2,513	1,943	1,837	1,943	2,731	-128
4	2	2	2	24	59	140	-48	80	84	60	72	76	1,588	1,188	2,371	2,416	2,123	2,277	2,344	3,377	-124
6	2	11	2	22	59	148	12			100	112	108	1,232	1,169			2,4	2,544	2,553	3,143	-124
10	1	13	2	29	60	124	-48	80	80	32	64	72	1,473	1,159	2,251	2,251	1,683	2,031	2,101	2,679	-120
3	4	2	2	16	60	176	4	164	172	108	112	132	1,182	1,203	2,653	2,871	1,93	2,019	2,274	2,697	-120
6	3	3	3	37	60	92	-68	60	60	16	32	28	1,43	1,092	2,204	2,204	1,678	1,779	1,719	2,83	-120
1	5	1	1	28	61	132	-12	156	156	72	96	100	1,13	1,064	2,812	2,812	1,798	2,119	2,17	2,66	-116
7	3	11	1	25	62	148	20	152	152	96	96	104	1,254	1,438	3,222	3,222	2,341	2,341	2,483	3,159	-112
4	4	16	1	26	62	144	-8	128	132	76	100	104	1,297	1,172	2,462	2,452	1,72	2,004	2,059	2,728	-112
2	5	28	1	37	62	100	-60	56	72	24	52	64	1,434	1,005	2,147	2,406	1,751	2,16	2,478	2,991	-112
9	3	13	3	28	62	136	-40	108	124	56	96	96	1,282	1,053	2,353	2,62	1,79	2,15	2,15	2,829	-112
4	2	12	2	24	62	152	-32	76	68	56	76	84	1,419	1,363	2,19	2,247	1,992	2,19	2,514	3,602	-112
5	1	2	2	9	63	216	52			140	144	144	1,069	1,177			1,889	1,916	1,916	2,483	-108
7	3	12	2	28	63	140	16			100	104	108	1,384	1,498			2,294	2,354	2,438	2,941	-108
1	5	13	1	28	63	140	-16	120	116	72	80	88	1,281	1,146	2,706	2,621	2,029	2,087	2,193	3,157	-108
5	3	18	2	33	64	124	-64	92		32	92	88	1,277	1,163	2,721		1,495	2,721	2,584	3,386	-104
4	4	2	2	38	64	104	-20	112	120	56	60	56	1,286	1,191	2,563	2,523	1,694	1,728	1,694	2,546	-104
4	1	14	2	37	64	108	-36	88	84	40	56	56	1,215	1,041	2,546	2,519	1,591	2	2	3,068	-104
9	1	3	3	32	64	128	-52	124	132	64	72	88	1,301	1,092	2,455	2,504	1,781	1,904	2,082	2,457	-104
1	1	14	3	28	64	144	-44	80	80	52	64	72	1,288	1,17	2,156	2,156	1,827	1,921	2,037	3,343	-104
7	3	2	2	28	64	144	12	128	128	96	100	112	1,348	1,457	2,892	2,892	2,44	2,487	2,663	3,309	-104
5	4	3	3	28	65	148	-28	124	124	56	76	92	1,585	1,425	2,753	2,753	1,979	2,073	2,211	3,04	-100
2	4	2	2	24	65	164	-84	92	88	-16	92	100	1,406	0,993	2,127	2,05	1,305	2,127	2,206	3,299	-100
5	2	3	3	36	66	120	-64	68	76	16	52	52	1,591	1,271	2,378	2,49	1,754	2,182	2,182	3,832	-96
9	4	2	2	26	66	160	4	140	136	84	96	92	1,353	1,301	3,048	2,935	2,045	2,198	2,113	3,342	-96
7	4	1	1	30	67	148	4	140	148	100	112	112	1,147	1,16	2,482	2,625	1,78	2,018	2,018	2,625	-92
9	1	1	1	32	67	140	-44	132	132	40	60	64	1,172	1,062	2,612	2,612	1,509	1,723	1,743	2,792	-92
6	1	12	1	19	67	192	-16	128	136	88	120	128	1,045	1,072	2,276	2,464	1,74	2,184	2,276	3,378	-92
5	3	2	2	32	67	140	-56	120	120	48	84	80	1,189	0,972	2,343	2,343	1,482	1,728	1,683	2,845	-92
9	4	12	2	26	67	164	8			104	112	116	1,221	1,231			1,661	1,774	1,92	2,495	-92
9	1	2	2	31	67	144	-8	104	112	72	80	92	1,334	1,242	2,345	2,424	1,932	2,042	2,176	3,005	-92
5	4	11	3	28	67	156	-24	108	104	68	72	72	1,128	1,206	2,617	2,602	1,71	1,839	1,839	2,917	-92
7	3	1	1	25	67	168	32	176	228	108	116	128	1,131	1,33	2,792	3,239	1,994	2,025	2,158	2,757	-92
2	5	1	1	38	67	116	-64	60	56	12	60	60	1,381	0,92	2,146	2,081	1,536	2,146	2,146	3,023	-92
9	3	2	2	36	68	128	-28	136	136	68	76	80	1,392	1,283	2,545	2,545	1,863	2,028	2,136	2,549	-88
8	3	3	3	30	69	156	20	168	152	104	108	112	1,387	1,452	3,288	3,141	2,169	2,303	2,38	3,175	-84
7	4	14	1	29	69	160	8	164	160	88	104	104	1,189	1,181	2,51	2,52	1,758	1,96	1,96	2,52	-84
4	1	2	2	38	69	124	-40	84	76	44	68	72	1,189	1,03	2,203	2,112	1,847	2,037	2,021	2,923	-84
9	1	14	1	32	69	148	-40	132	128	40	104	116	1,322	1,115	2,718	2,67	1,619	2,42	2,439	3,071	-84
8	4	15	1	42	70	112	-36	84	88	40	52	68	1,484	1,271	2,494	2,556	1,897	2,049	2,241	3,032	-80
10	2	4	4	42	70	112	-48	80	80	32	60	68	1,477	1,172	2,425	2,425	1,816	2,197	2,323	3,294	-80
8	3	11	3	30	70	160	28	172	172	92	112	120	1,304	1,4	3,242	3,242	1,827	2,051	2,24	3,078	-80
6	2	1	1	27	70	172	12	208	212	116	120	128	1,433	1,443	3,324	3,339	2,301	2,271	2,405	2,826	-80
5	2	1	1	31	70	156	0	204	196	104	92	96	1,028	1,028	2,603	2,518	1,675	1,562	1,587	2,189	-80
