Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
5,2,2,2,46,95,1.357,1.295,,,1.863,1.968,1.991,2.622,20.0,,,112,144,148,196
5,2,12,1,14,73,1.523,1.552,2.892,2.979,2.306,2.339,2.53,3.032,4.0,224.0,232.0,120,144,180,236
5,2,15,2,46,91,1.279,1.324,,,1.615,1.986,3.196,3.469,4.0,,,84,112,152,180
5,2,17,1,64,97,1.368,1.349,,,1.925,2.141,2.421,2.589,-24.0,,,76,96,104,132
5,5,1,1,32,69,1.591,1.496,2.811,2.643,2.087,2.046,2.331,2.734,16.0,160.0,168.0,88,100,120,148
5,5,1,1,69,124,1.476,1.416,2.395,2.987,2.113,2.208,2.233,2.455,52.0,204.0,232.0,148,160,172,220
5,5,2,2,29,69,1.483,1.457,2.611,2.611,2.149,2.76,2.619,3.082,-4.0,152.0,152.0,72,120,116,160
5,5,3,3,20,65,1.608,1.208,,,1.801,1.875,2.416,2.529,-52.0,,,68,92,144,180
5,5,12,3,20,63,1.598,1.283,,,2.023,2.211,2.56,2.93,-40.0,,,72,104,136,172
5,5,13,2,30,67,1.392,1.43,1.87,,1.739,2.098,2.098,2.639,-4.0,128.0,,60,112,112,148
5,5,14,1,32,67,1.349,1.288,2.982,3.053,2.096,2.275,2.421,2.698,8.0,196.0,192.0,84,100,108,140
5,5,24,1,69,117,1.258,1.471,2.897,,2.289,2.474,2.539,2.85,56.0,200.0,,136,148,160,192
6,1,1,1,29,54,1.76,1.616,3.085,2.974,2.236,2.236,2.44,2.812,-24.0,140.0,128.0,52,52,72,100
6,1,1,1,181,199,3.032,1.81,,,3.024,3.319,3.362,3.694,-148.0,,,-4,32,36,72
6,1,2,2,28,62,1.618,1.502,2.833,2.903,2.214,2.407,2.489,2.946,-24.0,160.0,144.0,64,84,92,136
6,1,2,2,60,114,1.495,1.555,2.703,2.69,1.769,1.806,2.066,2.534,32.0,236.0,232.0,128,148,168,216
6,1,3,3,17,61,1.675,1.616,,,2.32,2.403,2.533,3.321,-8.0,,,80,108,132,176
6,1,12,3,17,53,1.677,1.514,,,2.188,2.204,2.655,3.099,-16.0,,,80,84,108,144
6,1,13,2,28,86,1.542,1.318,,,1.957,1.686,2.127,2.617,-28.0,,,84,128,188,232
6,1,14,1,28,62,1.517,1.42,,,1.977,2.13,2.225,2.71,-12.0,,,64,84,92,136
6,1,14,14,62,122,1.356,1.567,,2.789,2.236,2.528,2.617,2.916,44.0,,268.0,136,172,192,240
6,1,17,1,54,110,1.352,1.535,,2.946,2.073,2.549,2.62,2.842,56.0,,248.0,164,180,176,224
6,1,17,17,109,212,1.381,1.596,,,2.554,2.782,2.743,3.35,80.0,,,276,328,320,412
6,1,19,2,64,117,1.327,1.368,2.745,,1.616,1.78,2.067,2.666,-16.0,224.0,,100,144,172,212
6,1,20,14,62,122,1.354,1.511,,,2.358,2.272,2.449,2.271,56.0,,,164,180,204,240
6,1,24,17,110,196,1.449,1.686,,,2.561,2.663,2.606,2.757,84.0,,,236,264,288,344
6,2,1,1,35,80,1.692,1.882,3.247,3.247,2.443,2.501,2.501,2.96,56.0,212.0,212.0,136,144,144,180
6,2,1,1,80,118,1.537,1.63,,,2.056,2.053,2.12,2.466,28.0,,,100,104,116,152
6,2,1,1,118,211,1.331,1.599,,,2.047,2.205,2.198,2.559,96.0,,,228,284,288,372
6,2,2,2,35,80,1.482,1.425,,,2.109,2.446,2.397,2.812,12.0,,,108,144,140,180
6,2,13,2,35,76,1.552,1.817,,,2.516,2.522,2.516,2.893,20.0,,,112,120,112,164
6,2,14,1,37,89,1.47,1.559,2.844,2.844,2.426,2.569,2.541,2.971,20.0,236.0,236.0,128,152,144,208
6,2,14,14,89,158,1.588,1.555,2.999,2.999,2.185,2.542,2.467,3.278,32.0,300.0,300.0,152,208,204,276
6,2,17,1,80,128,1.424,1.584,2.69,,2.139,2.4,2.296,2.804,24.0,208.0,,116,144,132,192
6,3,1,1,52,92,1.766,1.651,,3.132,2.266,2.35,2.35,3.011,-16.0,,176.0,92,104,104,160
6,3,1,1,92,154,1.543,1.578,,,2.111,2.25,2.318,2.959,40.0,,,148,164,176,248
6,3,2,2,53,102,1.584,1.552,3.044,3.044,2.272,2.436,2.611,3.088,-12.0,192.0,192.0,80,132,152,196
6,3,17,1,52,91,1.609,1.449,2.716,2.615,2.023,2.327,2.716,2.945,-12.0,168.0,184.0,68,120,128,156
6,3,17,17,93,160,1.511,1.487,,,1.599,2.659,2.748,3.079,4.0,,,96,204,212,268
6,3,18,2,53,94,1.674,1.629,,2.546,2.012,2.124,2.493,2.957,-8.0,,184.0,68,96,124,164
6,3,24,1,91,160,1.46,1.554,2.488,2.46,2.17,2.507,2.504,2.531,16.0,308.0,288.0,140,212,216,276
7,1,2,2,9,33,2.076,2.076,,,2.22,2.397,2.638,2.922,0.0,,,56,64,72,96
7,3,1,1,49,86,1.141,1.556,,,2.492,2.561,2.71,2.844,8.0,,,96,104,120,148
7,3,3,3,11,40,1.032,0.71,,,1.11,1.624,1.624,1.748,-16.0,,,84,92,92,116
8,3,1,1,38,112,1.344,1.718,,2.927,2.229,2.283,2.335,2.72,116.0,,340.0,232,240,248,296
8,3,1,1,112,184,1.443,1.554,,,1.964,2.175,2.251,2.617,48.0,,,164,220,240,288
8,3,2,2,34,96,1.438,1.602,,2.706,2.261,2.241,2.348,2.687,52.0,,264.0,160,172,204,248
8,3,3,3,45,123,1.283,1.553,,2.822,2.072,2.33,2.637,2.992,104.0,,304.0,196,232,260,312
8,3,13,2,34,85,1.38,1.399,2.263,2.538,1.942,2.003,2.124,2.441,32.0,216.0,212.0,144,140,160,204
8,3,14,1,38,107,1.255,1.682,,,2.393,2.426,2.508,2.944,88.0,,,200,204,216,276
8,3,19,1,112,179,1.276,1.349,,,1.966,2.075,2.255,2.717,44.0,,,156,180,204,268
9,1,1,1,50,116,1.436,1.463,2.838,2.826,1.966,2.107,2.187,2.671,12.0,304.0,300.0,148,192,212,264
9,1,1,1,116,198,1.16,0.97,,,1.423,1.943,2.052,2.472,-128.0,,,120,240,256,328
9,1,2,2,50,102,1.334,1.424,2.575,2.756,2.073,2.211,2.291,2.646,24.0,216.0,220.0,128,144,164,208
9,1,3,3,20,56,1.594,1.512,,,2.383,2.383,2.518,2.998,-20.0,,,96,96,100,144
9,1,13,2,50,101,1.62,1.727,,,2.635,2.635,2.611,3.104,24.0,,,148,148,160,204
9,1,14,1,49,116,1.35,1.483,2.88,2.835,2.491,2.88,2.835,3.35,36.0,220.0,224.0,184,220,224,268
9,1,14,14,117,166,1.616,1.44,3.04,2.981,2.084,2.665,2.684,2.945,-52.0,212.0,216.0,68,140,136,196
9,1,18,1,116,178,1.512,1.613,2.962,2.962,2.584,2.404,2.481,2.87,40.0,272.0,272.0,204,176,188,248
9,1,19,14,118,166,1.914,1.417,,,1.945,2.758,2.768,3.222,-52.0,,,56,156,160,192
9,3,1,1,19,52,1.659,1.585,,,1.784,2.059,2.176,2.415,-12.0,,,72,88,104,132
9,3,11,1,18,52,1.261,1.26,,,2.904,2.904,2.971,3.27,4.0,,,96,96,100,136
9,4,1,1,28,59,1.626,1.409,,,1.574,1.82,1.935,2.24,-48.0,,,52,88,100,124
9,4,1,1,60,119,1.294,1.037,,,1.076,1.267,1.648,1.879,8.0,,,136,172,204,236
9,4,12,1,59,107,0.999,1.145,,,2.035,2.035,1.763,2.456,12.0,,,140,140,100,192
9,5,1,1,18,54,1.794,1.544,,,1.914,1.914,2.295,2.466,12.0,,,96,96,120,144
10,1,9,9,9,45,1.852,1.708,,,1.974,2.288,2.485,3.049,-20.0,,,72,92,112,144
10,1,10,9,10,45,2.108,1.833,,,2.121,2.004,2.289,2.781,-28.0,,,48,92,108,140
10,1,11,1,24,105,1.779,1.453,,,2.493,2.46,2.609,3.038,80.0,,,228,240,264,324
10,2,1,1,64,99,1.614,1.614,,,2.15,2.248,2.308,2.647,0.0,,,76,92,100,140
10,2,1,1,99,162,1.203,1.387,,2.935,2.082,2.231,2.231,2.763,68.0,,308.0,192,208,208,252
10,2,17,1,64,114,1.58,0.881,,,2.331,2.608,2.751,3.056,-156.0,,,96,144,164,200
11,5,1,1,19,49,1.73,1.595,,2.992,2.274,2.42,2.494,2.791,-16.0,,160.0,64,80,88,120
11,5,1,1,50,106,1.285,1.392,2.327,2.455,2.002,2.066,2.162,2.193,48.0,264.0,252.0,148,164,188,224
11,5,1,1,106,168,1.112,1.177,,,1.292,1.481,1.549,2.161,40.0,,,148,168,176,248
11,5,2,2,17,61,1.339,1.534,,,2.231,2.235,2.334,2.884,20.0,,,108,120,124,176
11,5,3,3,23,56,1.624,1.571,,,2.565,2.644,2.8,3.37,-8.0,,,76,88,96,132
11,5,10,2,18,49,1.678,1.608,3.349,,2.498,2.542,2.7,3.255,4.0,160.0,,76,80,88,124
11,5,10,10,49,85,1.362,1.43,,,2.542,2.406,2.621,3.12,36.0,,,104,108,112,144
11,5,11,1,20,54,1.565,1.608,3.097,3.097,2.191,2.233,2.452,2.677,-16.0,168.0,168.0,56,68,92,136
11,5,11,11,54,99,1.278,1.595,,,2.322,2.475,2.391,2.699,44.0,,,132,148,140,180
11,5,12,3,22,60,1.535,1.534,,,2.454,2.666,2.883,2.525,-4.0,,,88,116,128,152
11,5,16,1,50,106,1.517,1.698,3.453,,2.066,2.371,2.539,3.515,36.0,252.0,,132,152,176,224
11,5,16,16,104,137,1.724,0.852,,,1.456,2.134,2.161,2.425,-168.0,,,-28,96,92,132
11,5,18,11,54,98,1.4,1.599,,,2.742,2.796,2.796,3.35,32.0,,,128,136,136,176
12,2,1,1,32,76,1.808,1.509,,,1.932,2.217,2.218,2.605,24.0,,,108,140,136,176
12,2,1,1,74,146,1.358,1.116,,,1.334,1.818,1.858,2.16,44.0,,,168,244,248,288
12,2,12,1,30,83,1.074,1.124,2.504,2.529,1.752,2.031,2.291,2.602,8.0,232.0,236.0,120,152,172,212
12,2,12,12,71,132,1.092,1.611,,,2.159,2.106,2.11,2.655,64.0,,,200,204,184,244
12,2,13,1,74,132,1.163,1.641,,,2.15,2.242,2.342,2.739,72.0,,,144,168,180,232
