Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
3,1,4,4,25,92,1.326,1.803,,,2.081,2.081,2.338,2.637,350,,,530,530,600,670
3,1,10,3,33,114,1.474,1.933,,,2.308,2.225,2.33,2.871,530,,,660,680,730,810
3,1,11,2,85,124,1.471,1.575,3.117,3.134,1.86,2.031,2.283,2.508,70,700.0,680.0,210,280,320,390
3,1,11,11,124,192,1.349,1.611,,,2.167,2.227,2.485,2.687,290,,,520,550,600,680
3,1,16,2,132,206,1.233,1.71,,,2.05,2.301,2.369,2.818,290,,,530,620,660,740
3,1,17,1,174,223,1.67,1.687,3.264,3.285,2.329,2.356,2.378,2.849,10,650.0,610.0,340,350,360,490
3,2,1,1,7,72,1.742,2.039,3.501,3.434,2.313,2.421,2.568,3.031,330,810.0,800.0,480,530,570,650
3,2,1,1,73,119,1.641,1.904,3.558,4.041,2.229,2.316,2.505,2.851,160,860.0,990.0,280,310,370,460
3,2,1,1,120,203,1.58,1.894,,,2.341,2.689,2.645,2.961,370,,,580,750,740,830
3,2,2,2,13,76,1.184,2.036,,,2.796,2.818,2.805,3.505,360,,,530,550,570,630
3,2,6,1,7,79,1.523,1.892,3.697,,1.924,2.151,2.425,2.714,410,1060.0,,520,580,630,720
3,2,6,6,80,151,1.237,1.758,,,2.109,2.3,2.414,2.816,330,,,490,550,600,710
3,2,14,1,72,122,1.407,1.566,,3.222,2.077,2.017,2.232,2.745,140,,750.0,300,340,410,500
3,2,18,14,122,184,1.409,1.76,,,2.027,2.038,2.445,2.963,240,,,440,500,530,620
3,3,1,1,16,61,1.469,1.546,,3.042,1.854,2.198,2.198,2.524,50,,740.0,240,360,360,450
3,3,1,1,61,194,1.366,1.992,3.431,3.201,2.192,2.353,2.664,3.208,980,1420.0,1360.0,1100,1150,1210,1330
3,3,1,1,193,238,1.565,1.64,2.576,2.576,1.985,2.038,2.342,2.576,70,450.0,450.0,280,300,390,450
3,3,3,3,22,72,1.175,1.445,,3.092,1.596,1.908,1.928,2.194,220,,840.0,380,400,440,500
3,3,12,1,16,68,1.363,1.454,3.197,3.019,1.899,2.034,2.346,2.614,60,780.0,720.0,260,330,440,520
3,3,13,2,19,89,1.413,1.483,2.849,3.134,1.841,2.301,2.317,2.797,40,800.0,870.0,260,560,620,700
3,3,13,13,90,129,1.49,1.572,3.118,2.992,1.893,1.924,2.388,2.557,90,730.0,620.0,230,240,330,390
3,3,15,3,22,74,1.295,1.605,,,2.125,2.213,2.487,2.731,200,,,370,400,430,520
3,3,18,1,64,142,1.182,1.344,3.114,3.433,1.85,2.08,2.192,2.542,250,1150.0,1260.0,500,620,660,780
3,3,18,18,142,213,1.342,1.678,2.8,,2.073,2.187,2.239,2.612,370,930.0,,550,570,590,710
3,3,19,12,68,118,1.31,1.474,3.981,2.87,1.786,1.915,2.06,2.476,170,1010.0,740.0,320,360,400,500
3,3,19,19,118,209,1.188,1.684,3.557,4.511,2.15,2.267,2.726,3.248,520,1050.0,1100.0,700,760,810,910
3,3,22,13,90,135,1.258,1.34,,,2.142,2.36,2.426,2.537,140,,,350,380,390,450
3,3,26,18,142,221,1.2,1.439,,,2.1,2.309,2.19,2.481,360,,,670,740,700,790
3,3,28,1,193,230,1.601,1.689,,,1.933,2.317,2.317,2.603,50,,,170,300,300,370
3,4,1,1,62,128,1.494,2.02,4.632,3.938,2.475,2.475,2.676,3.018,370,1050.0,980.0,530,530,580,660
3,4,1,1,128,191,1.664,2.388,4.691,,2.88,2.866,3.047,3.378,370,1100.0,,500,520,560,630
3,4,13,2,35,87,1.429,1.63,,,2.232,2.242,2.339,2.77,250,,,380,390,440,520
3,4,15,1,62,121,1.378,2.066,4.111,3.654,1.956,2.558,2.544,2.645,290,1000.0,910.0,420,540,520,590
3,4,19,1,128,187,1.354,1.67,2.257,,2.165,2.516,2.391,2.586,310,490.0,,480,530,520,590
3,5,2,2,132,193,1.474,1.621,3.117,3.057,1.992,2.166,2.331,2.663,130,810.0,800.0,290,410,480,610
3,5,3,3,76,127,1.387,1.614,2.849,3.247,2.106,2.286,2.286,2.506,150,700.0,800.0,370,420,420,510
3,5,3,3,127,175,1.291,1.489,3.607,2.932,1.884,1.989,1.989,2.442,170,970.0,890.0,370,390,390,480
3,5,10,4,14,79,1.339,1.466,3.178,3.267,1.937,2.069,2.265,2.506,170,900.0,920.0,410,500,570,650
3,5,13,3,77,123,1.51,1.523,2.741,2.88,1.783,2.044,2.644,2.625,50,720.0,740.0,220,340,380,460
3,5,17,3,127,193,1.215,1.496,,,2.063,2.14,2.261,2.574,280,,,470,520,550,660
3,5,18,2,131,204,1.563,1.973,3.336,,2.28,2.323,2.35,2.717,340,1040.0,,510,550,620,730
4,1,1,1,28,153,1.775,2.025,3.7,4.023,2.63,2.987,3.091,3.485,270,1310.0,1390.0,760,1100,1140,1250
4,1,1,1,154,195,1.852,1.993,3.459,3.422,2.302,2.393,2.601,2.881,40,760.0,740.0,220,260,330,410
4,1,2,2,58,125,1.261,1.565,3.078,,1.82,2.101,2.101,2.453,370,1050.0,,520,610,610,670
