Lip,Li,Lb,Ld,Td,Tri1
1.279,1.156,1.33,3.44,172,-16
1.33,1.562,1.303,3.155,252,68
1.182,1.126,1.642,3.413,108,-80
1.109,1.358,1.475,3.077,144,-12
1.415,1.322,1.738,3.315,112,-56
0.927,1.029,1.327,3.022,144,-48
1.279,1.318,1.36,3.454,184,-16
1.182,1.17,1.745,3.285,112,-76
1.08,1.254,1.288,3.435,176,-4
1.071,1.167,1.14,3.163,188,4
1.362,1.134,1.294,3.077,204,-24
1.39,1.582,1.845,,208,-4
1.362,1.176,1.224,2.724,208,-4
1.109,1.008,1.09,2.64,152,-8
1.028,1.205,0.994,3.274,252,32
0.986,1.199,1.473,3.278,184,-36
1.229,1.388,1.421,3.248,160,-12
1.122,1.158,1.158,3.086,204,0
1.209,1.433,1.433,3.438,164,0
1.145,1.026,1.314,2.596,220,-56
1.305,1.179,1.208,3.658,192,4
1.145,1.013,1.379,2.934,224,-68
1.313,1.164,1.229,2.856,212,-28
1.189,1.384,1.671,3.338,116,-32
1.187,1.176,1.195,3.376,172,-16
0.986,1.095,1.139,2.914,212,-32
1.058,1.228,1.277,3.352,208,-4
0.994,1.319,1.28,2.813,196,40
1.132,1.132,1.601,2.915,120,-72
1.323,1.16,1.398,2.741,172,-28
0.994,1.2,1.603,3.793,196,-48
1.258,1.53,1.509,4.174,168,20
1.17,1.34,1.302,3.45,240,8
1.187,1.333,1.443,3.36,180,-12
1.313,1.257,1.523,3.525,156,-36
1.122,1.127,1.443,3.857,164,-44
1.294,1.35,1.669,3.269,176,-32
1.189,1.267,1.565,3.435,132,-28
0.916,1.11,1.511,3.175,120,-68
1.066,1.327,1.327,3.838,212,0
1.058,1.292,1.229,3.094,232,4
1.289,1.141,1.34,3.28,168,-20
1.422,1.138,1.144,2.94,284,48
1.3,1.131,1.16,3.741,232,-8
1.145,1.22,1.471,3.628,240,-16
1.038,0.966,1.483,3.216,140,-72
1.071,1.079,1.087,3.495,252,-16
1.122,1.08,1.058,2.688,248,-8
1.345,1.505,1.497,3.749,188,4
1.09,1.039,1.354,3.582,152,-48
0.916,0.892,1.432,3.169,128,-88
1.379,1.396,1.598,3.695,188,-24
1.09,1.146,1.386,3.493,160,-32
1.381,1.613,1.692,3.212,184,8
1.235,1.319,1.454,4.228,172,-24
1.323,1.231,1.471,3.403,208,-20
1.235,1.255,1.445,3.52,176,-36
1.319,1.444,1.397,3.463,188,4
1.197,1.203,1.244,3.083,256,-32
1.258,1.138,1.355,3.968,204,-44
1.361,1.155,1.103,3.163,192,20
1.025,1.134,1.1,3.617,228,4
1.255,1.245,1.314,3.056,180,-28
1.345,1.448,1.302,3.344,216,28
1.038,0.898,1.273,3.389,164,-56
1.352,1.344,1.282,4.047,188,-8
1.01,1.121,1.579,3.208,132,-92
1.285,1.324,1.541,3.692,140,-52
1.206,1.176,1.193,3.355,156,-4
1.183,1.253,1.284,3.44,204,-40
1.243,1.136,1.217,3.713,224,-12
1.116,1.064,1.586,2.729,100,-64
1.179,1.395,1.449,3.205,200,16
1.29,1.441,1.441,3.313,208,0
1.132,1.056,1.431,3.329,180,-64
